0	221.265
1	219.83
2	218.15
3	216.77
4	215.4
5	213.98
6	212.405
7	210.735
8	209.045
9	207.36
10	205.81
11	204.23
12	202.305
13	200.365
14	198.745
15	196.885
16	194.91
17	192.945
18	190.71
19	188.485
20	186.25
21	183.93
22	181.69
23	179.09
24	176.495
25	173.91
26	170.845
27	167.855
28	164.53
29	161.24
30	158.14
31	154.125
32	150.25
33	146.285
34	141.83
35	137.25
36	132.275
37	127.285
38	122.03
39	115.705
40	109.73
41	102.59
42	95.095
43	87.965
44	79.555
45	70.145
46	59.61
47	47.535
48	33.94
49	18.735
50	0.0
