0	213.04
1	211.925
2	210.555
3	209.24
4	208.025
5	206.76
6	205.3
7	204.13
8	202.78
9	201.28
10	199.555
11	197.89
12	196.2
13	194.455
14	192.435
15	190.515
16	188.76
17	186.94
18	185.01
19	182.6
20	180.12
21	177.84
22	175.22
23	172.705
24	170.15
25	167.215
26	164.24
27	161.275
28	158.08
29	154.285
30	150.41
31	146.335
32	142.32
33	138.37
34	133.92
35	128.625
36	122.945
37	117.37
38	110.79
39	103.915
40	97.8
41	90.135
42	82.77
43	74.815
44	66.22
45	57.085
46	47.38
47	36.38
48	25.35
49	13.415
50	0.0
