0	223.51
1	222.45
2	221.175
3	219.745
4	218.395
5	216.915
6	215.375
7	213.88
8	212.3
9	210.66
10	209.14
11	207.56
12	205.735
13	204.1
14	202.08
15	200.16
16	198.11
17	195.95
18	193.895
19	191.635
20	189.585
21	187.005
22	184.91
23	182.385
24	179.73
25	176.92
26	174.105
27	171.26
28	168.245
29	165.155
30	162.095
31	158.53
32	155.025
33	151.335
34	147.0
35	142.64
36	137.77
37	133.06
38	127.425
39	122.17
40	116.39
41	109.965
42	103.255
43	95.605
44	86.475
45	77.615
46	66.8
47	53.93
48	40.815
49	23.26
50	0.0
