0	70.605
1	70.435
2	70.31
3	70.1
4	69.89
5	69.6
6	69.385
7	69.185
8	68.935
9	68.725
10	68.505
11	68.27
12	68.035
13	67.76
14	67.49
15	67.13
16	66.745
17	66.265
18	65.96
19	65.525
20	65.12
21	64.815
22	64.45
23	63.935
24	63.46
25	62.945
26	62.51
27	61.715
28	61.16
29	60.455
30	59.75
31	58.935
32	58.015
33	56.915
34	56.085
35	54.9
36	53.865
37	52.87
38	51.5
39	50.21
40	48.405
41	46.375
42	44.65
43	41.92
44	39.155
45	35.92
46	32.115
47	27.52
48	21.83
49	14.25
50	0.0
