0	220.395
1	219.095
2	217.82
3	216.22
4	214.765
5	213.59
6	212.245
7	210.505
8	209.04
9	207.33
10	205.755
11	204.065
12	202.61
13	200.75
14	198.85
15	196.94
16	194.985
17	193.15
18	190.98
19	188.675
20	186.11
21	183.67
22	180.83
23	178.215
24	175.79
25	172.83
26	169.71
27	166.335
28	163.14
29	159.455
30	155.615
31	151.78
32	147.115
33	143.08
34	138.345
35	133.37
36	128.045
37	122.505
38	115.86
39	109.345
40	102.77
41	96.09
42	88.315
43	80.605
44	71.8
45	61.51
46	51.0
47	39.745
48	27.805
49	14.75
50	0.0
