0	242.985
1	241.495
2	240.115
3	238.57
4	237.26
5	235.65
6	234.09
7	232.315
8	230.68
9	228.82
10	227.205
11	225.545
12	223.54
13	221.83
14	220.02
15	217.855
16	215.66
17	213.58
18	211.5
19	209.24
20	206.645
21	203.985
22	201.55
23	198.845
24	195.915
25	192.935
26	189.905
27	186.64
28	183.22
29	179.335
30	175.88
31	171.905
32	167.545
33	163.175
34	158.385
35	152.785
36	147.2
37	141.44
38	135.225
39	128.175
40	120.53
41	112.775
42	104.425
43	95.815
44	86.51
45	75.895
46	64.24
47	50.62
48	34.745
49	17.675
50	0.0
